,Volume,vw,Open,Close,High,Low,t,n
809,148316.0,443.7457,443.74,443.685,443.79,443.671,1688569440000,1258.0
810,482240.0,443.9123,443.688,443.79,443.83,443.67,1688569500000,1562.0
811,88785.0,443.7586,443.79,443.81,443.81,443.72,1688569560000,1156.0
812,39043.0,443.7874,443.805,443.795,443.825,443.75,1688569620000,513.0
813,104269.0,443.8498,443.8,443.835,443.889,443.8,1688569680000,1015.0
814,91162.0,443.7552,443.83,443.715,443.835,443.7,1688569740000,885.0
815,114019.0,443.6775,443.71,443.7199,443.74,443.63,1688569800000,1223.0
816,78365.0,443.7765,443.715,443.76,443.84,443.69,1688569860000,907.0
817,101380.0,443.7247,443.75,443.7035,443.76,443.68,1688569920000,1101.0
818,86790.0,443.6473,443.71,443.64,443.72,443.6,1688569980000,959.0
819,116562.0,443.662,443.6401,443.7421,443.78,443.58,1688570040000,1148.0
820,340115.0,443.9429,443.745,443.66,443.775,443.62,1688570100000,978.0
821,96671.0,443.6933,443.67,443.68,443.75,443.66,1688570160000,815.0
822,224850.0,443.5053,443.65,443.48,443.665,443.43,1688570220000,1987.0
823,193137.0,443.4951,443.49,443.49,443.555,443.43,1688570280000,1676.0
824,383736.0,443.8394,443.495,443.5399,443.5609,443.4,1688570340000,1168.0
825,145457.0,443.439,443.54,443.46,443.54,443.37,1688570400000,1215.0
826,71193.0,443.5369,443.455,443.56,443.57,443.45,1688570460000,824.0
827,88444.0,443.5939,443.551,443.595,443.66,443.53,1688570520000,844.0
828,71857.0,443.5875,443.59,443.59,443.63,443.55,1688570580000,690.0
829,68163.0,443.5949,443.59,443.55,443.62,443.54,1688570640000,769.0
830,79114.0,443.5458,443.545,443.55,443.59,443.48,1688570700000,886.0
831,70896.0,443.5149,443.549,443.5292,443.57,443.475,1688570760000,761.0
832,78258.0,443.559,443.52,443.6291,443.63,443.52,1688570820000,727.0
833,68242.0,443.6491,443.6301,443.63,443.6801,443.62,1688570880000,833.0
834,67752.0,443.6121,443.63,443.57,443.66,443.55,1688570940000,723.0
835,356855.0,443.9017,443.56,443.64,443.6401,443.53,1688571000000,1087.0
836,131095.0,443.7278,443.64,443.7301,443.78,443.64,1688571060000,1219.0
837,94242.0,443.755,443.735,443.735,443.8,443.7232,1688571120000,872.0
838,64785.0,443.7274,443.73,443.71,443.775,443.68,1688571180000,793.0
839,53943.0,443.7256,443.72,443.74,443.75,443.68,1688571240000,648.0
840,66978.0,443.6623,443.74,443.585,443.755,443.56,1688571300000,796.0
841,139047.0,443.5777,443.59,443.61,443.64,443.5,1688571360000,1185.0
842,64072.0,443.6226,443.62,443.6,443.67,443.58,1688571420000,673.0
843,70044.0,443.5901,443.59,443.56,443.635,443.56,1688571480000,687.0
844,67439.0,443.6,443.56,443.57,443.64,443.56,1688571540000,636.0
845,87590.0,443.6346,443.56,443.71,443.72,443.52,1688571600000,921.0
846,56648.0,443.7071,443.72,443.705,443.73,443.68,1688571660000,535.0
847,45090.0,443.6294,443.701,443.605,443.701,443.581,1688571720000,519.0
848,35995.0,443.6171,443.615,443.645,443.655,443.57,1688571780000,519.0
849,82395.0,443.6953,443.64,443.745,443.745,443.64,1688571840000,530.0
850,92082.0,443.7441,443.7401,443.75,443.78,443.71,1688571900000,913.0
851,320038.0,443.9729,443.74,443.77,443.81,443.69,1688571960000,687.0
852,44969.0,443.711,443.76,443.69,443.76,443.672,1688572020000,589.0
853,24008.0,443.6754,443.69,443.66,443.705,443.65,1688572080000,386.0
854,41622.0,443.6207,443.65,443.65,443.65,443.59,1688572140000,515.0
855,57624.0,443.611,443.66,443.5482,443.6601,443.5482,1688572200000,573.0
856,67442.0,443.5052,443.545,443.48,443.57,443.45,1688572260000,774.0
857,67856.0,443.4884,443.47,443.5468,443.548,443.43,1688572320000,721.0
858,35451.0,443.5427,443.535,443.56,443.59,443.51,1688572380000,501.0
859,43484.0,443.5001,443.55,443.5,443.55,443.465,1688572440000,465.0
860,34532.0,443.4925,443.49,443.48,443.53,443.46,1688572500000,475.0
861,168782.0,443.3809,443.475,443.33,443.48,443.29,1688572560000,1358.0
862,177168.0,443.2655,443.33,443.3309,443.36,443.16,1688572620000,1634.0
863,77350.0,443.3281,443.341,443.3301,443.37,443.265,1688572680000,747.0
864,43668.0,443.2905,443.33,443.29,443.33,443.255,1688572740000,558.0
865,204352.0,443.1966,443.295,443.1466,443.315,443.1,1688572800000,1634.0
866,120387.0,443.1215,443.141,443.1425,443.1837,443.075,1688572860000,1169.0
867,117532.0,443.1267,443.15,443.1599,443.19,443.07,1688572920000,1206.0
868,87402.0,443.2555,443.16,443.3091,443.335,443.16,1688572980000,839.0
869,298593.0,443.9128,443.31,443.2986,443.32,443.215,1688573040000,623.0
870,65335.0,443.2823,443.3,443.27,443.32,443.23,1688573100000,734.0
871,76870.0,443.274,443.27,443.28,443.305,443.24,1688573160000,774.0
872,564776.0,443.9544,443.28,443.35,443.35,443.26,1688573220000,641.0
873,99454.0,443.3147,443.345,443.315,443.3701,443.26,1688573280000,966.0
874,32398.0,443.3131,443.32,443.31,443.34,443.265,1688573340000,426.0
875,51037.0,443.2782,443.32,443.265,443.3399,443.25,1688573400000,578.0
876,61217.0,443.2091,443.27,443.15,443.28,443.15,1688573460000,692.0
877,48982.0,443.1587,443.14,443.18,443.2,443.13,1688573520000,625.0
878,67427.0,443.1266,443.16,443.175,443.19,443.08,1688573580000,718.0
879,50136.0,443.1915,443.17,443.205,443.23,443.14,1688573640000,557.0
880,69020.0,443.2418,443.2026,443.2701,443.29,443.16,1688573700000,800.0
881,91721.0,443.2829,443.27,443.2875,443.3,443.25,1688573760000,672.0
882,133453.0,443.3001,443.2875,443.305,443.36,443.25,1688573820000,1174.0
883,35623.0,443.2558,443.3,443.2879,443.3,443.22,1688573880000,456.0
884,131551.0,443.2726,443.29,443.25,443.33,443.2,1688573940000,1125.0
885,58759.0,443.1682,443.26,443.12,443.26,443.12,1688574000000,712.0
886,75208.0,443.1285,443.13,443.175,443.18,443.06,1688574060000,781.0
887,335204.0,443.8047,443.17,443.12,443.17,443.05,1688574120000,785.0
888,1147424.0,443.07,443.11,443.055,443.13,443.02,1688574180000,556.0
889,69567.0,443.1543,443.04,443.2189,443.23,443.04,1688574240000,779.0
890,51920.0,443.2454,443.22,443.221,443.28,443.21,1688574300000,584.0
891,64776.0,443.242,443.225,443.245,443.26,443.21,1688574360000,666.0
892,35473.0,443.2409,443.24,443.27,443.27,443.215,1688574420000,403.0
893,70337.0,443.2656,443.26,443.279,443.29,443.23,1688574480000,722.0
894,34065.0,443.2512,443.2732,443.24,443.285,443.22,1688574540000,434.0
895,29694.0,443.2624,443.2514,443.275,443.285,443.235,1688574600000,391.0
896,65902.0,443.2966,443.275,443.3542,443.36,443.245,1688574660000,715.0
897,58759.0,443.3053,443.3501,443.31,443.3534,443.28,1688574720000,656.0
898,56281.0,443.3062,443.31,443.275,443.36,443.27,1688574780000,559.0
899,1068205.0,443.4267,443.27,443.0383,443.27,442.97,1688574840000,2652.0
900,68639.0,443.0819,443.0374,443.14,443.14,443.03,1688574900000,658.0
901,330895.0,442.897,443.13,442.7317,443.13,442.73,1688574960000,2854.0
902,378593.0,443.6114,442.74,442.8,442.81,442.73,1688575020000,1138.0
903,395557.0,443.595,442.79,442.91,442.91,442.75,1688575080000,1253.0
904,326741.0,443.7807,442.92,442.95,442.968,442.8625,1688575140000,613.0
905,342075.0,443.7549,442.94,442.9701,443.015,442.91,1688575200000,827.0
906,109269.0,442.9787,442.98,442.97,443.005,442.96,1688575260000,1448.0
907,64334.0,442.9372,442.96,442.891,442.995,442.89,1688575320000,589.0
908,63488.0,442.9058,442.895,442.89,442.94,442.8706,1688575380000,661.0
909,42610.0,442.9046,442.89,442.9,442.93,442.87,1688575440000,481.0
910,343022.0,443.7228,442.91,442.8725,442.91,442.7974,1688575500000,1244.0
911,61033.0,442.8411,442.88,442.82,442.89,442.82,1688575560000,862.0
912,317259.0,443.7933,442.82,442.84,442.905,442.81,1688575620000,651.0
913,71060.0,442.882,442.82,442.9601,442.98,442.8,1688575680000,623.0
914,96652.0,443.0071,442.97,443.02,443.04,442.95,1688575740000,731.0
915,164224.0,442.9993,443.013,442.905,443.12,442.88,1688575800000,2232.0
916,85282.0,442.9477,442.905,443.0,443.01,442.8933,1688575860000,670.0
917,96360.0,442.9676,442.991,442.96,443.019,442.91,1688575920000,872.0
918,58206.0,442.9668,442.96,442.9697,443.0,442.94,1688575980000,595.0
919,89596.0,442.9757,442.965,442.965,443.01,442.93,1688576040000,791.0
920,78830.0,443.0039,442.965,443.01,443.03,442.965,1688576100000,749.0
921,55482.0,443.0739,443.02,443.125,443.14,443.01,1688576160000,562.0
922,91305.0,443.1838,443.13,443.22,443.22,443.125,1688576220000,832.0
923,50967.0,443.1861,443.22,443.18,443.2317,443.1591,1688576280000,443.0
924,94691.0,443.1759,443.1728,443.17,443.2,443.15,1688576340000,820.0
925,84516.0,443.1628,443.16,443.19,443.195,443.14,1688576400000,705.0
926,85291.0,443.2368,443.19,443.255,443.28,443.19,1688576460000,886.0
927,62687.0,443.23,443.26,443.27,443.275,443.2,1688576520000,726.0
928,41529.0,443.2355,443.26,443.22,443.26,443.21,1688576580000,495.0
929,305323.0,443.8914,443.22,443.255,443.26,443.19,1688576640000,534.0
930,50394.0,443.2649,443.26,443.25,443.29,443.24,1688576700000,593.0
931,77247.0,443.2304,443.25,443.25,443.255,443.2,1688576760000,745.0
932,39310.0,443.2438,443.255,443.23,443.27,443.22,1688576820000,436.0
933,80991.0,443.1967,443.23,443.25,443.26,443.17,1688576880000,871.0
934,35623.0,443.2384,443.26,443.22,443.26,443.21,1688576940000,508.0
935,105345.0,443.0894,443.23,443.0501,443.23,443.01,1688577000000,1024.0
936,61075.0,443.109,443.06,443.13,443.15,443.055,1688577060000,588.0
937,42001.0,443.1194,443.14,443.115,443.15,443.08,1688577120000,551.0
938,25778.0,443.1293,443.1167,443.11,443.16,443.1,1688577180000,402.0
939,40826.0,443.1316,443.12,443.12,443.16,443.11,1688577240000,500.0
940,69980.0,443.0862,443.115,443.135,443.14,443.05,1688577300000,790.0
941,37916.0,443.1123,443.135,443.1301,443.14,443.09,1688577360000,540.0
942,41085.0,443.0916,443.135,443.13,443.14,443.05,1688577420000,603.0
943,27307.0,443.1377,443.13,443.1135,443.1666,443.11,1688577480000,394.0
944,22228.0,443.128,443.12,443.16,443.16,443.09,1688577540000,312.0
945,33004.0,443.1824,443.16,443.205,443.21,443.15,1688577600000,404.0
946,541989.0,443.9753,443.2,443.22,443.23,443.17,1688577660000,404.0
947,113787.0,443.3058,443.22,443.3201,443.39,443.21,1688577720000,1051.0
948,59081.0,443.3328,443.33,443.325,443.35,443.315,1688577780000,580.0
949,50411.0,443.322,443.328,443.335,443.35,443.29,1688577840000,472.0
950,73371.0,443.2906,443.3408,443.2786,443.3408,443.24,1688577900000,805.0
951,29458.0,443.3043,443.289,443.31,443.335,443.265,1688577960000,395.0
952,188039.0,443.1547,443.3,443.11,443.305,443.06,1688578020000,1394.0
953,110372.0,443.1324,443.1201,443.14,443.16,443.11,1688578080000,1482.0
954,22089.0,443.1592,443.13,443.1699,443.1864,443.13,1688578140000,289.0
955,44134.0,443.1462,443.17,443.185,443.185,443.11,1688578200000,702.0
956,27590.0,443.1604,443.18,443.17,443.18,443.131,1688578260000,588.0
957,59332.0,443.1451,443.17,443.1101,443.185,443.11,1688578320000,715.0
958,56578.0,443.0989,443.12,443.11,443.14,443.065,1688578380000,694.0
959,41534.0,443.0823,443.1,443.0892,443.11,443.04,1688578440000,442.0
960,275331.0,443.956,443.085,443.08,443.14,443.08,1688578500000,315.0
961,39554.0,443.08,443.075,443.05,443.105,443.045,1688578560000,451.0
962,82400.0,443.0279,443.059,443.0809,443.09,442.99,1688578620000,804.0
963,43966.0,443.1149,443.089,443.1692,443.17,443.06,1688578680000,438.0
